@ATTRIBUTE	framewidth	NUMERIC
@ATTRIBUTE	frameheigth	NUMERIC
@ATTRIBUTE	framepersec	NUMERIC
@ATTRIBUTE	duration	NUMERIC
@ATTRIBUTE	framecount	NUMERIC
@ATTRIBUTE	blackcount	NUMERIC
@ATTRIBUTE	whitecount	NUMERIC
@ATTRIBUTE	grayscount	NUMERIC
@ATTRIBUTE	facecount	NUMERIC
@ATTRIBUTE	faceavelocx	NUMERIC
@ATTRIBUTE	faceavelocy	NUMERIC
@ATTRIBUTE	facesumarea	NUMERIC
@DATA
640.0,480.0,30.0,195.0,5850.0,1,0,111,134,335,161,1179040
640.0,1134.0,30.0,210.0,6300.0,0,0,27,196,301,219,12504863
640.0,360.0,20.0,436.0,8720.0,23,0,381,319,346,135,4852191
640.0,360.0,20.0,110.0,2200.0,1,0,1,3,323,83,9753
640.0,498.0,30.0,231.0,6930.0,9,0,150,0,-1,-1,0
640.0,360.0,50.0,98.0,4900.0,1,0,22,0,-1,-1,0
640.0,360.0,20.0,225.0,4500.0,16,3,138,124,292,109,1275978
640.0,360.0,20.0,212.0,4240.0,10,0,80,19,424,217,49737
640.0,480.0,30.0,223.0,6690.0,4,0,84,40,432,215,408810
640.0,360.0,20.0,145.0,2900.0,0,0,38,30,288,132,870410
560.0,314.0,30.0,140.0,4200.0,2,0,20,77,273,138,1143748
640.0,352.0,20.0,325.0,6500.0,1,0,272,167,300,121,2688465
640.0,480.0,30.0,219.0,6570.0,5,0,122,96,329,159,840119
560.0,314.0,20.0,250.0,5000.0,3,0,97,176,287,126,4643952
640.0,360.0,20.0,392.0,7840.0,8,0,203,221,333,143,3073610
640.0,360.0,30.0,430.0,12900.0,0,0,199,120,346,199,1451585
640.0,360.0,30.0,191.0,5730.0,4,1,71,61,340,130,1102507
640.0,360.0,30.0,540.0,16200.0,11,0,96,186,314,141,5547611
560.0,420.0,30.0,68.0,2040.0,0,0,0,3,367,157,6075
640.0,480.0,30.0,352.0,10560.0,0,0,89,44,334,185,467148
560.0,420.0,30.0,169.0,5070.0,0,0,160,108,293,183,3196533
640.0,360.0,20.0,365.0,7300.0,1,0,125,67,335,114,941489
640.0,360.0,20.0,296.0,5920.0,1,0,16,76,385,141,2026666
640.0,360.0,30.0,153.0,4590.0,0,0,30,6,285,148,44438
560.0,314.0,20.0,265.0,5300.0,0,0,174,128,265,108,864992
560.0,374.0,30.0,267.0,8010.0,4,0,161,196,240,132,1292215
640.0,360.0,30.0,201.0,6030.0,0,0,18,59,248,127,1000127
640.0,360.0,30.0,99.0,2970.0,1,0,2,105,316,132,2057325
640.0,426.0,60.0,322.0,19320.0,5,0,260,17,342,154,188095
560.0,314.0,30.0,228.0,6840.0,2,0,121,69,274,114,341948
640.0,360.0,60.0,178.0,10680.0,1,0,19,90,295,118,610055
640.0,360.0,30.0,98.0,2940.0,0,0,9,18,427,201,38003
640.0,480.0,20.0,127.0,2540.0,6,0,6,0,-1,-1,0
640.0,360.0,20.0,249.0,4980.0,0,2,267,199,292,135,3050768
560.0,314.0,30.0,208.0,6240.0,0,0,92,62,363,184,145295
560.0,314.0,20.0,244.0,4880.0,4,0,116,144,276,99,1774170
560.0,314.0,30.0,222.0,6660.0,7,0,56,73,285,95,298291
640.0,360.0,30.0,152.0,4560.0,14,0,69,0,-1,-1,0
560.0,420.0,30.0,180.0,5400.0,0,0,34,101,309,110,1675887
560.0,420.0,30.0,177.0,5310.0,0,0,9,144,322,157,1786336
560.0,314.0,30.0,211.0,6330.0,4,0,9,160,302,179,6955952
640.0,360.0,30.0,151.0,4530.0,1,0,83,71,419,174,2697208
640.0,480.0,30.0,462.0,13860.0,0,0,7,140,321,134,808220
640.0,360.0,30.0,122.0,3660.0,2,0,26,55,344,101,803347
640.0,360.0,30.0,172.0,5160.0,0,0,0,0,-1,-1,0
560.0,420.0,30.0,145.0,4350.0,2,0,75,38,367,152,237189
640.0,360.0,20.0,157.0,3140.0,10,0,131,99,292,181,2911277
640.0,480.0,30.0,98.0,2940.0,1,0,43,0,-1,-1,0
640.0,360.0,30.0,111.0,3330.0,1,0,72,0,-1,-1,0
640.0,360.0,30.0,45.0,1350.0,0,0,0,61,361,116,976123
640.0,360.0,30.0,74.0,2220.0,7,0,13,0,-1,-1,0
560.0,316.0,30.0,241.0,7230.0,7,0,32,169,367,136,4120963
560.0,420.0,30.0,171.0,5130.0,3,0,62,142,270,144,661318
640.0,360.0,30.0,334.0,10020.0,4,0,78,161,316,136,2366498
560.0,420.0,20.0,65.0,1300.0,0,0,56,16,294,204,83208
640.0,360.0,30.0,180.0,5400.0,3,0,75,17,274,117,299346
560.0,314.0,60.0,306.0,18360.0,0,1,17,0,-1,-1,0
