# of frames that have letters (NUMERIC),# of frames that have numbers (NUMERIC),# of frames that have special characters (NUMERIC),# of scenes (NUMERIC),length of the opening (NUMERIC),length of the ending (NUMERIC),# of static images (NUMERIC),"isCG {True=1, False=0, Combined=2} ",# of money involved frames (NUMERIC)
7,6,0,3,1,0,0,0,0
7,2,0,2,1,0,16,0,0
8,5,1,2,1,1,3,0,0
14,5,1,7,1,3,1,2,9
1,0,0,1,1,0,0,0,0
5,0,0,2,1,2,0,2,0
1,0,0,1,1,1,0,0,0
7,0,0,3,1,1,2,2,0
5,1,0,2,1,1,0,2,0
1,0,0,2,0,0,4,0,0
0,0,0,2,0,0,0,2,0
5,0,0,4,1,1,0,2,0
0,0,0,2,1,0,5,2,0
1,0,0,2,2,1,0,2,0
0,0,0,1,1,0,0,1,0
2,0,0,1,1,0,0,1,0
1,1,1,1,1,0,0,0,1
1,0,0,2,1,0,7,0,0
4,0,0,2,1,1,0,2,0
3,2,0,1,2,0,2,1,0
3,0,0,3,1,2,5,2,0
0,0,0,2,1,0,0,0,0
3,0,0,1,1,1,5,0,0
1,0,0,2,0,0,1,0,0
7,0,0,3,1,1,5,0,0
3,0,0,1,1,1,2,2,0
0,0,0,1,1,0,0,1,0
3,0,0,2,1,1,0,2,0
16,4,0,4,1,1,29,2,0
3,1,0,7,1,0,0,1,0
8,0,0,3,2,0,0,0,0
4,0,0,1,1,1,2,0,0
8,0,0,2,1,1,3,0,0
18,3,1,12,2,4,0,2,0
9,0,0,7,1,1,7,0,0
2,0,0,1,1,1,4,0,0
1,0,0,3,1,0,0,2,0
6,4,0,1,0,3,1,0,0
8,0,0,1,0,0,2,1,0
12,0,0,2,0,3,2,2,0
13,12,10,1,2,2,2,1,0
21,14,1,2,1,0,0,0,12
4,1,0,2,1,1,2,0,0
4,0,2,1,1,0,0,1,0
3,1,1,2,0,0,0,2,0
0,0,0,1,1,0,0,1,0
29,27,0,1,1,0,3,0,0
1,0,0,3,1,2,1,2,0
1,0,0,2,1,0,1,0,0
0,0,0,1,1,1,0,1,0
2,2,0,1,1,0,2,1,0
5,2,2,4,1,1,1,2,0
5,6,0,1,1,0,1,1,0
8,7,3,1,2,0,0,1,0
1,1,0,1,0,0,0,0,0
4,0,1,1,1,0,0,1,0
7,2,1,1,1,0,5,1,0
2,0,0,2,1,1,0,0,0
3,0,0,3,1,1,1,2,0
10,0,0,2,2,2,2,0,0
5,0,2,2,2,2,8,2,0
1,0,0,1,0,0,1,0,0
5,0,0,1,1,1,0,1,0
4,0,0,1,0,3,0,1,0
16,2,1,1,1,1,10,0,0
1,0,0,2,1,0,0,0,0
2,0,0,2,1,0,1,0,0
10,1,2,3,1,1,6,2,0
3,4,0,4,1,2,4,0,0
2,0,0,3,0,0,0,0,0
12,0,0,1,1,1,7,0,0
3,1,1,2,1,0,0,0,2
13,4,2,1,1,1,10,2,2
2,0,0,2,1,0,0,2,0
5,0,0,4,1,0,3,2,0
12,0,1,1,1,1,0,1,0
8,1,1,3,1,1,1,2,0
18,0,18,9,1,0,0,0,0
6,0,0,2,1,2,7,1,0
4,1,2,1,1,3,3,0,0
6,0,0,1,1,1,0,1,0
4,1,1,2,1,1,4,2,0
22,3,1,5,0,2,0,2,1
1,0,0,1,0,0,0,1,0
4,0,0,2,1,0,2,2,0
0,0,0,2,1,0,0,2,0
7,3,5,2,0,0,3,2,0
8,1,1,6,2,1,1,2,1
17,5,0,7,1,1,1,2,0
4,1,0,3,1,1,4,2,0
5,0,1,1,1,2,1,0,0
2,0,0,2,1,2,4,0,0
2,0,0,3,0,0,2,0,0
1,0,0,2,1,1,0,0,0
1,0,0,3,1,0,0,2,0
2,0,0,1,1,1,0,0,0
0,0,0,2,0,0,0,2,0
3,2,0,1,1,1,0,1,0
5,1,1,2,1,1,3,2,0
0,0,0,1,0,0,0,1,0
3,2,1,5,1,1,0,2,1
4,0,1,2,1,1,0,2,0
3,0,0,1,1,1,0,0,0
0,0,0,1,2,0,0,0,0
5,0,0,2,0,1,3,1,0
3,0,0,2,1,1,0,2,0
7,1,7,2,1,1,0,0,0
2,0,0,2,0,0,0,2,0
4,1,2,2,1,0,2,0,0
11,2,0,1,2,2,0,1,0
18,2,0,1,0,0,2,0,0
1,0,0,2,1,1,0,0,0
0,0,0,1,1,0,0,0,0
0,1,0,1,0,0,1,0,0
9,1,1,4,3,2,6,0,0
3,2,1,1,1,3,0,0,0
5,3,1,2,2,1,8,0,0
5,1,0,2,0,1,0,2,0
6,0,3,6,1,2,2,0,0
4,1,0,1,1,0,4,0,0
3,0,1,1,0,1,0,0,1
5,0,1,4,0,1,0,2,0
2,0,0,2,0,0,0,0,0
8,6,2,4,1,1,2,0,0
5,0,3,3,0,2,7,2,0
4,0,1,1,1,1,0,1,0
4,0,0,1,1,1,0,1,0
1,0,0,1,1,1,0,1,0
0,0,0,1,0,0,0,0,0
4,2,0,4,1,1,1,2,0
1,0,0,2,1,0,0,1,0
8,0,0,3,2,0,1,2,0
2,0,0,2,1,1,10,0,0
4,0,0,1,1,1,6,0,0
16,5,5,2,1,1,4,0,0
1,0,0,2,1,0,12,0,0
10,0,7,2,1,0,7,0,0
14,4,3,2,1,1,10,0,0
1,0,2,2,2,1,2,0,0
9,4,0,1,1,0,7,0,0
0,0,0,1,0,0,0,0,0
8,0,2,9,1,1,0,2,0
13,0,0,1,0,1,1,0,0
9,3,1,5,1,1,4,2,0
4,0,0,1,0,0,0,0,0
11,1,2,8,1,1,0,2,0
2,0,0,2,0,0,6,0,0
7,0,0,1,1,0,4,1,0
11,0,1,3,1,2,3,0,0
16,1,0,3,1,0,15,2,0
6,2,1,2,1,1,5,2,0
5,2,1,2,1,0,2,0,0
3,1,1,1,0,0,1,0,0
4,2,0,1,0,0,0,1,0
5,0,0,2,1,1,0,2,0
3,0,1,3,1,0,0,0,0
11,1,10,5,1,1,0,0,0
2,0,0,1,1,1,2,0,0
6,1,3,4,2,2,1,0,0
4,0,9,1,1,10,0,1,0
8,1,1,3,1,1,1,2,1
12,0,1,1,1,1,2,0,0
5,0,2,1,0,0,5,0,1
5,1,1,2,1,1,2,2,0
5,1,1,2,1,1,0,2,0
3,1,0,1,1,1,4,0,0
6,3,2,1,1,1,0,1,1
1,0,0,1,1,1,0,1,0
1,1,0,3,0,0,2,0,0
3,1,0,1,1,1,16,0,0
0,0,0,1,1,0,0,1,0
4,1,1,1,1,0,0,2,0
10,0,0,2,3,2,11,0,0
1,0,0,2,1,0,5,0,0
9,1,1,2,1,2,5,0,0
1,0,0,1,1,1,2,0,0
0,0,1,1,0,0,0,1,0
6,1,0,2,0,0,0,0,0
10,4,0,2,1,1,0,0,0
10,5,3,3,2,1,2,0,0
16,8,3,1,1,4,0,0,0
1,0,0,2,1,0,0,0,0
2,0,0,2,1,0,0,2,0
2,0,0,1,1,1,0,1,0
13,13,4,2,1,1,0,0,0
2,0,1,2,1,1,0,2,0
3,0,3,1,2,1,0,0,0
4,1,1,2,1,1,9,0,0
4,0,0,1,1,0,0,0,0
1,0,1,1,2,0,0,0,0
5,0,0,4,2,2,2,0,0
2,2,0,1,1,0,0,0,0
3,0,2,1,1,1,0,0,0
1,0,0,1,0,0,0,2,0
10,5,1,1,1,0,0,0,0
1,0,0,2,1,1,1,0,0
11,1,0,1,1,2,0,1,0
7,0,2,2,1,1,1,0,0
6,0,1,2,0,5,3,0,0
4,1,0,6,2,1,2,0,0
